State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,ProdPerArea
Haryana,BHIWANI,2011,Whole Year ,Sugarcane,2462.0,16000.0,6.498781478472786
Haryana,BHIWANI,2012,Kharif     ,Arhar/Tur,820.0,1014.0,1.2365853658536585
Haryana,BHIWANI,2012,Kharif     ,Bajra,88740.0,123000.0,1.3860716700473292
Haryana,BHIWANI,2012,Kharif     ,Castor seed,36.0,17.0,0.4722222222222222
Haryana,BHIWANI,2012,Kharif     ,Cotton(lint),62612.0,231000.0,3.6893886156008433
Haryana,BHIWANI,2012,Kharif     ,Groundnut,16.0,13.0,0.8125
Haryana,BHIWANI,2012,Kharif     ,Moong(Green Gram),1762.0,849.0,0.481838819523269
Haryana,BHIWANI,2012,Kharif     ,Moth,239.0,60.0,0.2510460251046025
Haryana,BHIWANI,2012,Kharif     ,Rice,14981.0,40000.0,2.6700487283892933
Haryana,BHIWANI,2012,Kharif     ,Sannhamp,19.0,9.0,0.47368421052631576
Haryana,BHIWANI,2012,Kharif     ,Sesamum,91.0,32.0,0.3516483516483517
Haryana,BHIWANI,2012,Rabi       ,Barley,12209.0,39000.0,3.1943648128429847
Haryana,BHIWANI,2012,Rabi       ,Gram,25576.0,29000.0,1.133875508289021
Haryana,BHIWANI,2012,Rabi       ,Rapeseed &Mustard,162459.0,265100.0,1.631796330150992
Haryana,BHIWANI,2012,Rabi       ,Wheat,162442.0,657000.0,4.0445205057805245
Haryana,BHIWANI,2012,Whole Year ,Dry chillies,90.0,900.0,10.0
Haryana,BHIWANI,2012,Whole Year ,Garlic,6.0,100.0,16.666666666666668
Haryana,BHIWANI,2012,Whole Year ,Guar seed,160849.0,120675.0,0.7502378006701937
Haryana,BHIWANI,2012,Whole Year ,Sugarcane,2463.0,128000.0,51.96914332115306
Haryana,FARIDABAD,1997,Kharif     ,Bajra,19000.0,22000.0,1.1578947368421053
Haryana,FARIDABAD,1997,Kharif     ,Jowar,28000.0,8000.0,0.2857142857142857
Haryana,FARIDABAD,1997,Kharif     ,Maize,1000.0,2000.0,2.0
Haryana,FARIDABAD,1997,Kharif     ,Other Kharif pulses,6800.0,4500.0,0.6617647058823529
Haryana,FARIDABAD,1997,Kharif     ,Rice,21000.0,59000.0,2.8095238095238093
Haryana,FARIDABAD,1997,Rabi       ,Barley,2000.0,5000.0,2.5
Haryana,FARIDABAD,1997,Rabi       ,Other  Rabi pulses,6000.0,2000.0,0.3333333333333333
Haryana,FARIDABAD,1997,Rabi       ,Wheat,119000.0,449000.0,3.773109243697479
Haryana,FARIDABAD,1997,Whole Year ,Sugarcane,9000.0,380000.0,42.22222222222222
Haryana,FARIDABAD,1998,Kharif     ,Arhar/Tur,2952.0,2600.0,0.8807588075880759
Haryana,FARIDABAD,1998,Kharif     ,Bajra,15532.0,16000.0,1.0301313417460727
Haryana,FARIDABAD,1998,Kharif     ,Jowar,21027.0,4000.0,0.1902316069815
Haryana,FARIDABAD,1998,Kharif     ,Moong(Green Gram),368.0,100.0,0.2717391304347826
Haryana,FARIDABAD,1998,Kharif     ,Moth,1992.0,400.0,0.20080321285140562
Haryana,FARIDABAD,1998,Kharif     ,Rice,30124.0,70000.0,2.323728588500863
Haryana,FARIDABAD,1998,Kharif     ,Sesamum,533.0,100.0,0.18761726078799248
Haryana,FARIDABAD,1998,Rabi       ,Barley,3024.0,7000.0,2.314814814814815
Haryana,FARIDABAD,1998,Rabi       ,Masoor,365.0,200.0,0.547945205479452
Haryana,FARIDABAD,1998,Rabi       ,Peas & beans (Pulses),115.0,100.0,0.8695652173913043
Haryana,FARIDABAD,1998,Rabi       ,Rapeseed &Mustard,5791.0,8000.0,1.3814539803142807
Haryana,FARIDABAD,1998,Rabi       ,Wheat,128881.0,459000.0,3.5614248803159505
Haryana,FARIDABAD,1998,Whole Year ,Potato,383.0,5700.0,14.882506527415144
Haryana,FARIDABAD,1998,Whole Year ,Sugarcane,6093.0,250000.0,41.03069095683571
Haryana,FARIDABAD,1998,Whole Year ,Sweet potato,7.0,100.0,14.285714285714286
Haryana,FARIDABAD,1999,Kharif     ,Arhar/Tur,3077.0,2300.0,0.7474813129671758
Haryana,FARIDABAD,1999,Kharif     ,Bajra,15274.0,15000.0,0.9820610187246301
Haryana,FARIDABAD,1999,Kharif     ,Cotton(lint),98.0,0.0,0.0
Haryana,FARIDABAD,1999,Kharif     ,Jowar,19892.0,3000.0,0.15081439774783834
Haryana,FARIDABAD,1999,Kharif     ,Maize,791.0,2000.0,2.5284450063211126
Haryana,FARIDABAD,1999,Kharif     ,Moong(Green Gram),301.0,0.0,0.0
Haryana,FARIDABAD,1999,Kharif     ,Rice,28820.0,58000.0,2.012491325468425
Haryana,FARIDABAD,1999,Kharif     ,Sesamum,703.0,0.0,0.0
Haryana,FARIDABAD,1999,Rabi       ,Barley,2790.0,6000.0,2.150537634408602
Haryana,FARIDABAD,1999,Rabi       ,Gram,80.0,0.0,0.0
Haryana,FARIDABAD,1999,Rabi       ,Masoor,297.0,100.0,0.3367003367003367
Haryana,FARIDABAD,1999,Rabi       ,Rapeseed &Mustard,5327.0,7000.0,1.314060446780552
Haryana,FARIDABAD,1999,Rabi       ,Wheat,130923.0,545000.0,4.1627521520282915
Haryana,FARIDABAD,1999,Whole Year ,Dry chillies,137.0,100.0,0.7299270072992701
Haryana,FARIDABAD,1999,Whole Year ,Potato,120.0,1900.0,15.833333333333334
Haryana,FARIDABAD,1999,Whole Year ,Sugarcane,8326.0,410000.0,49.24333413403795
Haryana,FARIDABAD,2000,Kharif     ,Arhar/Tur,3287.0,2500.0,0.76057195010648
Haryana,FARIDABAD,2000,Kharif     ,Bajra,14162.0,19000.0,1.3416184154780397
Haryana,FARIDABAD,2000,Kharif     ,Cotton(lint),87.0,0.0,0.0
Haryana,FARIDABAD,2000,Kharif     ,Jowar,18461.0,5000.0,0.270841232869292
Haryana,FARIDABAD,2000,Kharif     ,Maize,764.0,2000.0,2.6178010471204187
Haryana,FARIDABAD,2000,Kharif     ,Moong(Green Gram),319.0,0.0,0.0
Haryana,FARIDABAD,2000,Kharif     ,Other Kharif pulses,2761.0,500.0,0.18109380659181457
Haryana,FARIDABAD,2000,Kharif     ,Rice,28959.0,80000.0,2.762526330329086
Haryana,FARIDABAD,2000,Kharif     ,Sesamum,456.0,100.0,0.21929824561403508
